Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
near-term Future,CNRM-ESM2-1,5.4.3,ssp245,1.58715785715884e-05,2.007934866185951,8.662826245534044e-06,12.072291058844097,1.3758499255846033e-05,12.893145420182247,2.556321186717967e-05,-4.79479832547736,1.5358291140347153e-05,0.2714393320777833
near-term Future,CNRM-ESM2-1,6.1.1,ssp245,7.487634380874075e-06,3.9294863895013963,2.588453263903131e-06,8.126153187171315,3.7496738615133225e-06,11.973776271285047,1.8998992227822813e-05,3.4368194962851066,4.487079983702242e-06,-2.184773822801
near-term Future,CNRM-ESM2-1,6.1.2,ssp245,1.5000259204278022e-05,6.281845502134786,9.071173628683959e-06,-1.146687236181828,8.420557611113576e-06,11.492998356306346,2.8126376036068184e-05,11.29643849725374,1.4261473274476282e-05,-0.7024785621068441
near-term Future,CNRM-ESM2-1,6.1.3,ssp245,1.7661877097122063e-05,8.018758551910306,1.2547486558757811e-05,2.0240574763927164,1.0398387948700597e-05,6.560816419241158,2.8279955060857112e-05,18.38117692842995,1.934210161550823e-05,-0.36594231199180755
near-term Future,CNRM-ESM2-1,6.1.4,ssp245,2.0840257079848214e-05,6.914328133943726,1.6909962670832684e-05,3.132521858687329,1.3399576201020665e-05,-2.307456181913136,3.038589248935526e-05,14.374745868064695,2.2609641152892686e-05,6.396120960832794
near-term Future,CNRM-ESM2-1,6.1.5,ssp245,1.0534814791074704e-05,6.168169290462881,6.653549696432005e-06,5.062602643028065,5.984958429804574e-06,1.6995177593033988,1.9926903779360828e-05,6.649213058258513,9.488220949921819e-06,8.975522605318343
near-term Future,CNRM-ESM2-1,6.1.6,ssp245,1.7477718178097892e-05,6.748663728702679,1.4556859585086559e-05,0.7180391029467972,1.0838811376180626e-05,7.384228297709115,2.467477787925515e-05,5.00144071902811,1.9809896339672217e-05,13.721083515652898
near-term Future,CNRM-ESM2-1,6.2.1,ssp245,2.071134156358647e-05,4.646911747052015,2.1009263385263342e-05,0.7819161824155475,1.5014638876089595e-05,7.568189157434907,2.4381117403086194e-05,4.337072729808102,2.2465108649604212e-05,6.8341635758452455
near-term Future,CNRM-ESM2-1,6.2.10,ssp245,1.352886304088893e-05,4.266315320132848,1.2330280468665813e-05,19.548506999445493,1.693278129061495e-05,10.434148249714768,1.4463898437934038e-05,-1.173597612823226,1.0330801016872114e-05,-10.572721409452972
near-term Future,CNRM-ESM2-1,6.2.11,ssp245,3.685352309013464e-05,11.258436951556984,8.325221533693061e-05,26.885451279283746,2.929353646870851e-05,-8.146245095957811,5.612847049204868e-06,22.799750513581,3.0069379975693704e-05,-3.068655930014224
near-term Future,CNRM-ESM2-1,6.2.12,ssp245,2.864048109895783e-05,10.352771608313436,7.059285929836947e-05,34.01123083558852,2.2436411877288826e-05,-12.80127077146574,3.832530418576464e-06,-8.831864473682428,1.8391285739328463e-05,-15.122691426826954
near-term Future,CNRM-ESM2-1,6.2.13,ssp245,1.4512011847051861e-05,5.904858472863055,1.934110383809826e-05,27.693847161761482,1.7270209420968928e-05,17.890600639921523,8.677490416060822e-06,-15.234320703852621,1.2833380347917547e-05,-13.395624265684877
near-term Future,CNRM-ESM2-1,6.2.14,ssp245,1.4978452085973318e-05,3.029615231588576,1.4125298660101888e-05,22.40559645718133,1.5187621669221164e-05,8.825847372022055,1.7857182740073875e-05,-3.5937967360937884,1.2702647067452276e-05,-9.725217833103242
near-term Future,CNRM-ESM2-1,6.2.15,ssp245,1.544340628764713e-05,5.124685866598896,2.2911535993514192e-05,14.776542683891991,1.6464209058756604e-05,8.9595239245598,1.0083958865592993e-05,-2.1471226392381206,1.2423969839619281e-05,-7.7818418367925215
near-term Future,CNRM-ESM2-1,6.2.2,ssp245,2.0384976172436036e-05,1.4412231110460274,2.307022591763147e-05,-3.15732960230911,1.5596481369192544e-05,7.541789013426621,1.9036348007104052e-05,-1.6835697257501934,2.3926716569166902e-05,4.966377006742271
near-term Future,CNRM-ESM2-1,6.2.3,ssp245,2.8500690716774502e-05,-0.7203601547596625,3.68442516032321e-05,0.43232109497052484,2.600546333658815e-05,-2.3889315196567344,2.277194522808528e-05,1.3954086169401647,2.854115851394612e-05,-2.262405234772442
near-term Future,CNRM-ESM2-1,6.2.4,ssp245,2.4290871521917506e-05,-1.0459361962105447,2.5217449051588905e-05,0.8585654970772114,2.236165691060079e-05,-4.140667917200071,2.7418100204057763e-05,1.8914645219278647,2.2160853381331632e-05,-3.4060219409104704
near-term Future,CNRM-ESM2-1,6.2.5,ssp245,3.6047291614443316e-05,-0.658603364266081,6.0435955997894224e-05,2.8365118528787754,3.195010907829826e-05,-2.1821339427797515,1.5100028440674902e-05,2.2134742413046955,3.718197217872275e-05,-5.639658870104856
near-term Future,CNRM-ESM2-1,6.2.6,ssp245,1.1789661327909209e-05,6.450659403939575,8.70114907887598e-06,16.21134483461091,1.3353552336987973e-05,7.298675146826604,1.645118962796101e-05,-0.12161941795442441,8.558548898378943e-06,9.825814383736779
near-term Future,CNRM-ESM2-1,6.2.7,ssp245,4.441759221181946e-05,3.9202805449790143,8.278108948711835e-05,10.69540824693313,4.118692403280739e-05,0.5968597889471216,1.2105651376805608e-05,8.865446018762698,4.230768051036252e-05,-5.473874806531972
near-term Future,CNRM-ESM2-1,6.2.8,ssp245,2.0780682096888192e-05,8.051988297356093,4.14374705553517e-05,21.916494953690506,1.8426648767134774e-05,-2.9270247024106926,5.767163918319077e-06,3.58768873585227,1.785481559440386e-05,-4.348420495387332
near-term Future,CNRM-ESM2-1,6.2.9,ssp245,1.3791816413883266e-05,5.9652343322600565,2.1139438702074412e-05,17.09923292851879,1.5319862143916087e-05,7.803648569692018,7.081020588423556e-06,-8.495032533458454,1.1745262276442664e-05,-3.3049660030362955
near-term Future,CNRM-ESM2-1,7.1.1,ssp245,1.6876903993270044e-05,8.112810371172943,1.0159425201087881e-05,-0.04902091218842191,1.0645827169138752e-05,17.514828125120886,2.6022727739649544e-05,10.385808232104269,2.0591503656563284e-05,5.150227798394768
near-term Future,CNRM-ESM2-1,7.1.2,ssp245,3.2700149950367175e-05,4.046376279246591,2.9792330023734115e-05,-4.798558915330248,2.3267120613575808e-05,0.6139419618708827,3.3359812796471435e-05,9.938818069747784,4.4453461898966953e-05,8.283968183723498
near-term Future,CNRM-ESM2-1,7.1.3,ssp245,1.9097686114906552e-05,7.214822345023938,1.4099717179610907e-05,-2.1762524712007614,1.020536853046687e-05,3.922734209652278,2.6179915973720613e-05,17.513121211667183,2.588389257071573e-05,4.586851437574967
near-term Future,CNRM-ESM2-1,7.1.4,ssp245,3.654605511302443e-05,5.836801904225779,3.484799438670134e-05,-3.017138006760923,2.3723600970857544e-05,-0.41239002751771264,3.513973619089788e-05,13.768269572928773,5.2615067441138655e-05,10.418370489737917
near-term Future,CNRM-ESM2-1,7.1.5,ssp245,7.071661692484065e-05,2.991791645227684,8.336075172079104e-05,-3.4776465314997624,5.477791258056635e-05,3.345943521672122,4.132961891367811e-05,3.159142224787786,0.00010400186849312222,8.503517011597252
near-term Future,CNRM-ESM2-1,7.1.6,ssp245,5.6441394309553945e-05,1.3972103471796826,7.321373122334474e-05,-4.141188038625086,4.489463574232773e-05,4.960534073697852,3.0478972655743757e-05,-0.9760775140065483,7.773050307037666e-05,6.02436116782698
near-term Future,CNRM-ESM2-1,7.1.7,ssp245,5.4840288155639876e-05,-0.018646237641696276,9.094710668644009e-05,2.2582844082036173,4.7425079813476975e-05,0.6819216788833391,1.836262312933257e-05,-4.9609347786740425,6.341023371256133e-05,-2.1427312057912777
near-term Future,CNRM-ESM2-1,7.1.8,ssp245,5.5069664445688395e-05,4.232118129723358,0.00010699081996101834,12.083027020058875,4.900555976267941e-05,-0.32796851418465095,1.215424873993219e-05,8.580099880114942,5.309989303978754e-05,-5.803148212623411
near-term Future,CNRM-ESM2-1,7.1.9,ssp245,4.161872772599853e-05,4.421044683901437,7.785787389745112e-05,11.06475596355281,3.9065467134540433e-05,1.0658930276145107,1.0271324957092516e-05,11.934731601797386,3.99554362824998e-05,-5.090784667795033
near-term Future,CNRM-ESM2-1,8.1.1,ssp245,3.4961407718322116e-05,8.282944829957248,3.3221052835123544e-05,12.494365018088937,3.373651181358012e-05,11.358592945093788,3.6723926397915e-05,4.148929766202153,3.614369705209752e-05,6.22102594098408
near-term Future,CNRM-ESM2-1,8.1.10,ssp245,3.3172494690153716e-05,2.930177933724384,2.817034274626088e-05,7.902899639164422,3.69904224869432e-05,5.411883037820356,3.517669820688309e-05,-5.8703147582223325,3.224675964150707e-05,6.761050200589825
near-term Future,CNRM-ESM2-1,8.1.2,ssp245,3.119634303176582e-05,5.0225965195240265,2.8946124956892876e-05,5.477647209932936,3.418768718255892e-05,12.515917809394706,3.192577333546563e-05,2.6659450431274387,2.9666105990701933e-05,-0.6212887422709793
near-term Future,CNRM-ESM2-1,8.1.3,ssp245,3.4675126992350056e-05,5.671218686816258,2.925223251549303e-05,12.711434186423205,3.4678111087315564e-05,4.539035475061707,3.7479518061424595e-05,-4.467544914464472,3.7214505920920344e-05,13.572974818726335
near-term Future,CNRM-ESM2-1,8.1.4,ssp245,2.3966220447957432e-05,0.6883401289675297,1.1673489715230388e-05,22.172609287693838,2.7536835607468888e-05,8.4659138711667,3.267539977295487e-05,-12.82723060263633,2.374154933528127e-05,5.532968460117582
near-term Future,CNRM-ESM2-1,8.1.5,ssp245,2.6870465455649333e-05,4.45650538220756,1.3480075859377739e-05,27.375488456141174,3.3677041740186526e-05,12.366097255733088,3.487716219208026e-05,-10.62335195474127,2.5172966985742525e-05,9.444918205594059
near-term Future,CNRM-ESM2-1,8.1.6,ssp245,2.9705053180998658e-05,3.9590197920620436,2.451601264423838e-05,15.619109067407633,3.4785478972317876e-05,12.583564870969122,3.2862827590585246e-05,-0.8786874426664485,2.6522026802470228e-05,-8.234891495640419
near-term Future,CNRM-ESM2-1,8.1.7,ssp245,4.071085621411261e-05,8.982278822257012,4.2898568222197784e-05,25.741798851731147,3.984563421597453e-05,1.8270978374703712,3.743713105197924e-05,-3.7789248960656807,4.272584530351224e-05,14.842596142434767
near-term Future,CNRM-ESM2-1,8.1.8,ssp245,4.095330588208901e-05,11.161865245116873,4.152192581480635e-05,18.370367531020133,3.8162074618622924e-05,9.862992649711872,4.154772531121272e-05,9.778202174184909,4.261038748682626e-05,7.328418748865626
near-term Future,CNRM-ESM2-1,8.1.9,ssp245,4.107982788667844e-05,12.252915517312303,4.2842812796356696e-05,14.928701488259144,3.8694141482396897e-05,13.0206249688778,4.018620885882056e-05,13.90441679709241,4.2646908562584594e-05,7.600577917049548
near-term Future,CNRM-ESM2-1,8.2.1,ssp245,2.7695136263295137e-05,6.619009861762339,1.789137976013675e-05,34.339511269861525,3.316195171068579e-05,14.179406200162473,3.444409856157935e-05,-2.7587009071293767,2.5066998178052563e-05,-3.1299683220273495
near-term Future,CNRM-ESM2-1,8.2.2,ssp245,2.8559532296409457e-05,5.264874079675465,2.3848122881167094e-05,12.383136892835566,3.34985242756708e-05,13.040693241307263,3.184085706027037e-05,1.7770495762386644,2.4920943782829495e-05,-5.1086719418789315
near-term Future,CNRM-ESM2-1,8.2.3,ssp245,3.115579463781634e-05,6.436212891667551,2.3453219715860645e-05,25.446570934041766,3.817750998286903e-05,10.012268379857055,3.5963181171612436e-05,2.5331552248415137,2.6834948353236026e-05,-5.517377278945493
near-term Future,CNRM-ESM2-1,8.2.4,ssp245,3.345850727256469e-05,6.755112252073029,2.8206153948415092e-05,12.583014783458099,4.0438034050151385e-05,8.855851008180558,3.7328852085776766e-05,3.721010492974012,2.7697893839792942e-05,2.56016291880855
near-term Future,CNRM-ESM2-1,8.3.1,ssp245,3.8148744259229585e-05,3.944863553548549,3.5659985272673383e-05,13.727203400863248,3.7899159739336854e-05,2.9215563410915952,3.7558779778735555e-05,-8.624650741498701,4.146549281947589e-05,10.791830671924519
near-term Future,CNRM-ESM2-1,8.3.2,ssp245,3.4877201990741934e-05,7.774535284243185,2.834577342858082e-05,14.888359647170086,4.485190467668811e-05,13.558577075649383,3.665049909378296e-05,3.321661026538731,2.947698367055068e-05,-0.5058448706222775
near-term Future,CNRM-ESM2-1,8.3.3,ssp245,4.350567854701577e-05,9.822958093179945,4.23850184240809e-05,5.567002014363496,5.405639008974745e-05,19.063299694002758,4.180592723490411e-05,3.4321196875801068,3.566875578082458e-05,10.022298121847689
near-term Future,CNRM-ESM2-1,8.3.4,ssp245,3.956311961395427e-05,2.927230413351882,4.01860536123882e-05,1.6079413367565774,4.449218746910637e-05,13.434524885786384,4.0441865849036574e-05,-2.0520693641887746,3.307375191812742e-05,-1.739019615550984
