Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tasmax,Plot_index_Annual_tasmax,Ave25yearSpan_Winter_tasmax,Plot_index_Winter_tasmax,Ave25yearSpan_Spring_tasmax,Plot_index_Spring_tasmax,Ave25yearSpan_Summer_tasmax,Plot_index_Summer_tasmax,Ave25yearSpan_Fall_tasmax,Plot_index_Fall_tasmax
near-term Future,7,7.1.6,ssp126,282.8773352734956,0.6950028254268581,274.4893843263649,0.59943228482508,281.57344136229676,0.3663196152238104,292.1795678545081,1.0525338085837994,283.1090005025748,0.7606104130328593
near-term Future,7,7.1.7,ssp126,288.5117745307171,0.6706832653729382,281.1133858515932,0.762782389195876,286.8607681691128,0.04373980294103319,296.6667103124701,0.965768398201984,289.27297329720557,0.9148584454793198
near-term Future,7,7.1.8,ssp126,290.1201489497773,0.6425343590460422,284.2027624012968,0.7936931520581538,288.1912330125726,0.027285916494287576,296.2581161793418,0.7623077703558891,291.73281096337917,0.9935578029234335
near-term Future,7,7.1.9,ssp126,291.7677496215279,0.6803942296508936,283.7086646938166,0.8580870226823141,289.6787484005223,-0.05197352181310322,300.33218333078463,0.8435322844463862,293.21293681886374,1.0796704324019615
near-term Future,7,8.1.1,ssp126,286.7442029272959,1.0118219197123768,272.94129783694694,1.3311383843940592,285.8432141118702,1.029361860935028,299.5907683720796,0.8334431134099525,288.354984305891,0.8577785989922031
near-term Future,7,8.1.10,ssp126,290.38612446141434,1.4040357130329664,277.7484974463178,1.8845872073052083,290.00127560253617,1.6906211462689793,301.85938969653586,1.0769794833141795,291.707939354029,0.9684131463658012
near-term Future,7,8.1.2,ssp126,288.2309614385585,1.1821229392416566,275.14740668003697,1.572532669128045,287.22786725075264,1.433405207603684,300.50163654659104,0.8056303007706305,289.8138464577686,0.9215600823744055
near-term Future,7,8.1.3,ssp126,288.6192883427584,1.2312841808493733,275.8479671957153,1.623533158987199,287.9880958646181,1.3568750294076235,300.3778710709447,0.9831596896959347,290.03427864281275,0.966191294383421
near-term Future,7,8.1.4,ssp126,287.7632148017033,1.432640454617852,272.3276885606676,1.783935862915559,287.62252865432464,1.3472019596335105,301.57597734202506,1.3263363547947051,289.2475099647835,1.2781285983266741
near-term Future,7,8.1.5,ssp126,289.1089897705459,1.501817885948002,274.2475247304013,2.2238812977392373,289.15551942372974,1.4756163326942158,302.2846284285835,1.2278327842380712,290.4788702165929,1.089270303273512
near-term Future,7,8.1.6,ssp126,289.892311486546,1.2888464514310858,276.34656144977805,1.861265999166144,289.5282464723775,1.4483231892226165,302.1201840574845,0.8070319822560208,291.33075311396476,1.0470874547241955
near-term Future,7,8.1.7,ssp126,290.3526324436882,1.1166185400295063,278.1521587136885,1.2994165353689398,289.05975704795964,1.0406863867118954,301.8607771782253,1.0673412712760602,292.12368706154297,1.0619325590526714
near-term Future,7,8.1.8,ssp126,285.1003086423272,0.742437946473018,271.97796651406225,1.1578177053058962,283.469535776435,0.4947599892387089,297.9388982084523,0.6317133248370652,286.78207806247235,0.6928683620662639
near-term Future,7,8.1.9,ssp126,285.08690136659374,0.6990346949681978,272.3807179984168,1.0989516516951334,282.7438412586065,0.38131719314604595,297.8081058551954,0.6297727108001716,287.1947772361297,0.6936897118479664
near-term Future,7,8.2.1,ssp126,288.7219658644547,1.342923267947402,274.580545086457,1.94690764021869,288.077664982097,1.338341988970564,301.6894267484416,1.0255625554789667,290.2867031266155,1.0694629762902998
near-term Future,7,8.2.2,ssp126,289.66588114871337,1.2919702102583965,276.2508808715479,1.814270185743587,289.0456674168048,1.500483210348401,301.92858316504436,0.8407688493314005,291.1984163448073,1.0193875664036582
near-term Future,7,8.2.3,ssp126,291.81434671714754,1.6097187303811538,278.3804137506285,2.6529465379759607,291.7681746697944,1.540991766984046,303.66346709666044,1.0323885067649528,293.2034331384661,1.2283603111269699
near-term Future,7,8.2.4,ssp126,292.0681190217119,1.5033760779541048,279.10736626042086,2.1495304745473884,292.0403433763009,1.7293442253625386,303.52625183188394,1.1108844856593905,293.36466264831495,1.0309715085140958
near-term Future,7,8.3.1,ssp126,293.47047104940305,1.3741744500591757,281.519374967485,1.5961688565114445,292.9718752921146,1.397268414728991,304.42150344599844,1.2397923204173225,294.75445719902984,1.2665451746655023
near-term Future,7,8.3.2,ssp126,294.32404767751143,1.6547496216755953,281.72293147432686,2.520770302557488,294.339254650344,1.5555284585900893,305.480407177469,1.2446393270077927,295.52559284980475,1.3108901477253028
near-term Future,7,8.3.3,ssp126,295.5914083570451,1.4169274252466941,284.0836272540472,1.7156431703681303,295.79208259592883,1.6093640756347867,305.6555793579765,1.25797653447027,296.62543478200723,1.086852713993622
near-term Future,7,8.3.4,ssp126,297.44874266412336,1.3439025174528147,287.46932952441273,1.3667229735639257,297.8155736004788,1.5705828465586151,306.07521894372024,1.1069191468280337,298.25267648675936,1.3316889115218302
near-term Future,7,8.3.5,ssp126,299.34317036133586,1.2310989870233975,290.0549267792968,1.2235976044544383,299.6679213905334,1.4368457474915886,307.1394176657303,1.0187252691517656,300.34360172565164,1.2452375017941648
near-term Future,7,8.3.6,ssp126,298.5366332230879,1.3087683680890159,288.55949932735075,1.5442700614024254,298.6863919819956,1.3572774775131897,307.1610535356273,1.1699263058538065,299.55984298328775,1.166559124726522
near-term Future,7,8.3.7,ssp126,299.8405828699161,1.3919964829691764,290.57248867962056,1.497167735139291,299.9014516826298,1.417499943401502,307.95685983989546,1.2988858048812162,300.7642686690865,1.35605373822726
near-term Future,7,8.3.8,ssp126,301.3696264876788,1.5478978787784783,292.45905645678863,1.6856315093286725,301.3214825603236,1.561189193518267,309.25167650803274,1.452749734961472,302.28578559791646,1.4940709057483055
near-term Future,7,8.4.1,ssp126,293.60191066864274,1.305798583346153,282.3017863503264,1.5019052617398652,293.6569186004478,1.494557960039895,303.6093333642379,1.0825083915047031,294.6346535341818,1.1462399936246328
near-term Future,7,8.4.2,ssp126,292.96377302453874,1.2905096222647927,281.4966509057682,1.5475744456952985,293.18845066884285,1.5683697677662778,302.9418256452809,1.0256346685990003,294.020277591721,1.0224638275916753
near-term Future,7,8.4.3,ssp126,293.01254815184484,1.4199281407621527,280.9919955818103,1.806201779692688,293.23447615867076,1.718350003900305,303.54763856639033,1.182494621276856,294.0574818788092,0.9752219782000111
near-term Future,7,8.4.4,ssp126,293.7864740541231,1.2903122496589745,283.79861540834366,1.3878263367904715,294.05475544763647,1.533166902596534,302.4902590187736,1.0401309270444123,294.6202571227393,1.2010197484231249
near-term Future,7,8.4.5,ssp126,295.98270630584807,1.613283624500383,284.6492475254962,2.2941719627355432,296.0067164052051,1.486609196274177,306.36822264298144,1.345683246280835,296.6975951869671,1.3366893228593746
near-term Future,7,8.4.6,ssp126,296.8260499276314,1.503407612789733,286.17889685041393,1.852412830110115,296.8371494756574,1.392439649830692,306.6020595956885,1.4456273418924113,297.4896218595924,1.3279197743698745
near-term Future,7,8.4.7,ssp126,298.1837294107732,1.5504272419662755,287.4622979254001,1.839946055679139,298.2187480609313,1.4353236428551064,307.93363152213715,1.4996757241953986,298.9231719072572,1.4310040881607584
