variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.1.5,Foxe Uplands,-11.921004584027054,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.1.6,Baffin Uplands,-12.308267307397967,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.1.7,Gulf of Boothia and Foxe Basin Plains,-11.474213849645484,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.1.8,Victoria Island Lowlands,-14.42833500666973,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.1.9,Banks Island and Amundsen Gulf Lowlands,-13.542641568478372,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.2.1,Arctic Coastal Plain,-9.112611870193248,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.2.2,Arctic Foothills,-8.366679005995335,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.2.3,Subarctic Coastal Plains,-1.7884568790875854,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.2.4,Seward Peninsula,-4.312212612353629,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.2.5,Bristol Bay-Nushagak Lowlands,1.7413323686444069,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.2.6,Aleution Islands,4.142796708088284,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.3.1,Brooks Range/Richardson Mountains,-10.328348715853364,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.4.1,Amundsen Plains,-9.78015244150532,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.4.2,Aberdeen Plains,-10.40943121589482,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.4.3,Central Ungava Peninsula and Ottawa and Belcher Islands,-6.568927518332487,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,2.4.4,Queen Maud Gulf and Chantrey Inlet Lowlands,-12.76822694814154,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.1.1,Interior Forested Lowlands and Uplands,-4.272266671702865,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.1.2,Interior Bottomlands,-2.2896174338606508,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.1.3,Yukon Flats,-3.8956555852609593,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.2.1,Ogilvie Mountains,-7.515192064681389,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.2.2,Mackenzie and Selwyn Mountains,-7.4935358345255265,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.2.3,Peel River and Nahanni Plateaus,-5.666910327767169,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.3.1,Great Bear Plains,-6.017277933240211,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.3.2,Hay and Slave River Lowlands,-1.0537791909710044,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.4.1,Kazan River and Selwyn Lake Uplands,-6.334908117101446,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.4.2,La Grande Hills and New Quebec Central Plateau,-3.750677041833603,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.4.3,Smallwood Uplands,-2.6068878156301887,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.4.4,Ungava Bay Basin and George Plateau,-4.658521051842012,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,3.4.5,Coppermine River and Tazin Lake Uplands,-5.586891838295522,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,4.1.1,Coastal Hudson Bay Lowland,-3.7337375218538154,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,4.1.2,Hudson Bay and James Bay Lowlands,-1.0549395203858718,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.1.1,Athabasca Plain and Churchill River Upland,-1.3398993644277044,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.1.2,Lake Nipigon and Lac Seul Upland,1.4419794417495977,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.1.3,Central Laurentians and Mecatina Plateau,0.005588958766752,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.1.4,Newfoundland Island,4.24081938413347,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.1.5,Hayes River Upland and Big Trout Lake,-0.7420598959586904,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.1.6,Abitibi Plains and Riviere Rupert Plateau,0.9201422158500748,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.2.1,Northern Lakes and Forests,5.049994155336581,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.2.2,Northern Minnesota Wetlands,4.032881444250674,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.2.3,Algonquin/Southern Laurentians,3.784580045527413,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.3.1,Northern Appalachian and Atlantic Maritime Highlands,5.548498457482486,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.3.3,North Central Appalachians,8.84628100352823,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.4.1,Mid-Boreal Uplands and Peace-Wabaska Lowlands,1.5267936491229523,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.4.2,Clear Hills and Western Alberta Upland,1.839758837981228,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,5.4.3,Mid-Boreal Lowland and Interlake Plain,1.474860737787994,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.1.1,Interior Highlands and Klondike Plateau,-5.3266787828345965,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.1.2,Alaska Range,-3.847964714860341,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.1.3,Copper Plateau,-1.951023036467467,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.1.4,Wrangell and St. Elias Mountains,-6.192998659668676,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.1.5,Watson Highlands,-3.1438422734622624,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.1.6,Yukon-Stikine Highlands/Boreal Mountains and Plateaus,-1.539517970624377,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.1,Skeena-Omineca-Central Canadian Rocky Mountains,1.6062352448317487,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.10,Middle Rockies,4.969240796785034,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.11,Klamath Mountains,11.070979125710032,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.12,Sierra Nevada,9.346936271961136,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.13,Wasatch and Uinta Mountains,5.16019769217094,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.14,Southern Rockies,3.900662878106901,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.15,Idaho Batholith,5.755672326336144,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.2,Chilcotin Ranges and Fraser Plateau,3.270030289778928,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.3,Columbia Mountains/Northern Rockies,4.365424960131808,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.4,Canadian Rockies,1.0400333677154183,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.5,North Cascades,5.42248364171844,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.6,Cypress Upland,4.257454153768414,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.7,Cascades,8.621214433494394,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.8,Eastern Cascades Slopes and Foothills,8.672049374909818,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,6.2.9,Blue Mountains,8.511579345668787,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.1,Ahklun and Kilbuck Mountains,-0.9039214980435648,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.2,Alaska Peninsula Mountains,2.2414270324821493,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.3,Cook Inlet,1.958790715443169,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.4,Pacific Coastal Mountains,-0.7864575034446063,0.0,
