Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
long-term Future,21,9.3.4,ssp245,1.96E-05,17.54014492,5.98E-06,33.99072976,2.57E-05,28.39033091,3.44E-05,15.74035955,1.19E-05,-1.516207499
near-term Future,21,9.4.1,ssp245,1.44E-05,3.781693056,4.86E-06,13.16528177,1.69E-05,16.28141369,2.37E-05,-2.473184572,1.20E-05,-1.569089117
mid-term Future,21,9.4.1,ssp245,1.48E-05,6.822790951,5.03E-06,17.10545366,1.82E-05,25.55831733,2.33E-05,-4.305688866,1.26E-05,3.011011496
long-term Future,21,9.4.1,ssp245,1.53E-05,10.17014533,5.19E-06,20.87240463,1.98E-05,36.78463948,2.47E-05,1.272715534,1.13E-05,-8.002816246
near-term Future,21,9.4.2,ssp245,2.20E-05,0.08377707,8.68E-06,0.938192079,2.92E-05,12.7066823,3.00E-05,-6.263444617,1.99E-05,-6.400678532
mid-term Future,21,9.4.2,ssp245,2.24E-05,2.101635747,9.77E-06,13.56843046,2.94E-05,13.55399705,3.04E-05,-5.035635297,1.99E-05,-6.271534023
long-term Future,21,9.4.2,ssp245,2.32E-05,5.47067076,1.02E-05,18.77212983,3.17E-05,22.30067729,3.13E-05,-2.232261592,1.92E-05,-9.667652476
near-term Future,21,9.4.3,ssp245,1.44E-05,0.292288931,5.77E-06,9.247886329,1.57E-05,16.78673703,2.26E-05,-8.536737681,1.35E-05,-3.324475672
mid-term Future,21,9.4.3,ssp245,1.45E-05,0.538133364,5.96E-06,12.85251466,1.59E-05,17.82354301,2.19E-05,-11.28740623,1.40E-05,-0.093953872
long-term Future,21,9.4.3,ssp245,1.51E-05,5.19964993,6.16E-06,16.68118195,1.86E-05,37.72680537,2.35E-05,-4.802289281,1.21E-05,-13.55691248
near-term Future,21,9.4.4,ssp245,2.85E-05,-3.308397532,1.17E-05,-3.388349227,3.77E-05,11.05734295,3.64E-05,-13.13209457,2.79E-05,-5.776978928
mid-term Future,21,9.4.4,ssp245,2.95E-05,0.27442635,1.26E-05,4.09031185,3.86E-05,13.95214389,3.98E-05,-5.111753274,2.67E-05,-9.77484367
long-term Future,21,9.4.4,ssp245,2.96E-05,0.384319178,1.43E-05,18.4265778,3.88E-05,14.50828849,3.72E-05,-11.16488576,2.74E-05,-7.645067005
near-term Future,21,9.4.5,ssp245,2.85E-05,1.885681599,1.79E-05,3.099905796,3.84E-05,11.53573162,2.91E-05,3.236344963,2.82E-05,-11.82774351
mid-term Future,21,9.4.5,ssp245,2.79E-05,-0.037022008,1.89E-05,8.643946408,3.61E-05,4.811545292,2.54E-05,-9.790108703,3.10E-05,-2.972882202
long-term Future,21,9.4.5,ssp245,2.99E-05,6.822066009,1.95E-05,12.22178115,4.36E-05,26.84252266,2.83E-05,0.283172723,2.79E-05,-12.69696061
near-term Future,21,9.4.6,ssp245,1.99E-05,4.3026492,1.25E-05,8.998756824,2.46E-05,16.79808257,2.03E-05,0.407409001,2.20E-05,-6.047634975
mid-term Future,21,9.4.6,ssp245,1.93E-05,1.277925447,1.23E-05,6.72568034,2.07E-05,-1.574573268,1.91E-05,-5.212706047,2.45E-05,4.824982152
