Year,City,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_min_model,WarmSpell3_max,WarmSpell3_max_model
1991,Austin,historical,2.2820512820512824,2.0,ACCESS-CM2,2.8461538461538463,CNRM-ESM2-1
1992,Austin,historical,1.9871794871794874,1.0,ACCESS-CM2,3.615384615384616,EC-Earth3
1993,Austin,historical,1.8076923076923077,1.0,CNRM-ESM2-1,2.576923076923077,ACCESS-CM2
1994,Austin,historical,1.794871794871795,1.0,EC-Earth3,2.3846153846153846,CNRM-ESM2-1
1995,Austin,historical,1.8974358974358976,1.4615384615384617,ACCESS-CM2,2.769230769230769,CNRM-ESM2-1
1996,Austin,historical,3.0128205128205128,2.0384615384615383,CNRM-ESM2-1,4.115384615384615,ACCESS-CM2
1997,Austin,historical,1.9743589743589745,1.2307692307692308,ACCESS-CM2,2.6923076923076925,CNRM-ESM2-1
1998,Austin,historical,1.8076923076923077,1.0,EC-Earth3,2.5,CNRM-ESM2-1
1999,Austin,historical,2.3846153846153846,1.7307692307692308,ACCESS-CM2,3.0,CNRM-ESM2-1
2000,Austin,historical,2.0512820512820515,1.0,ACCESS-CM2,3.4615384615384617,EC-Earth3
2001,Austin,historical,2.3461538461538463,1.4615384615384617,EC-Earth3,3.230769230769231,ACCESS-CM2
2002,Austin,historical,1.6666666666666667,1.0,ACCESS-CM2,3.0,EC-Earth3
2003,Austin,historical,1.5,1.0384615384615383,EC-Earth3,1.7692307692307692,ACCESS-CM2
2004,Austin,historical,1.6025641025641024,1.0,ACCESS-CM2,2.8076923076923075,EC-Earth3
2005,Austin,historical,1.435897435897436,1.0,ACCESS-CM2,2.3076923076923075,EC-Earth3
2006,Austin,historical,2.41025641025641,1.2307692307692308,EC-Earth3,3.0,ACCESS-CM2
2007,Austin,historical,1.871794871794872,1.0,ACCESS-CM2,3.615384615384616,EC-Earth3
2008,Austin,historical,1.5,1.0,CNRM-ESM2-1,1.9230769230769231,EC-Earth3
2009,Austin,historical,1.6153846153846156,1.0,ACCESS-CM2,2.0,CNRM-ESM2-1
2010,Austin,historical,1.0769230769230769,1.0,ACCESS-CM2,1.2307692307692308,CNRM-ESM2-1
2011,Austin,historical,1.5256410256410255,1.0,ACCESS-CM2,2.576923076923077,CNRM-ESM2-1
2012,Austin,historical,2.41025641025641,2.0,ACCESS-CM2,3.230769230769231,EC-Earth3
2013,Austin,historical,2.2179487179487176,1.0,ACCESS-CM2,3.6538461538461537,EC-Earth3
2014,Austin,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1951,Baltimore,historical,6.05,4.5,EC-Earth3,8.15,ACCESS-CM2
1952,Baltimore,historical,6.1499999999999995,5.55,EC-Earth3,6.5,ACCESS-CM2
1953,Baltimore,historical,4.7,2.8,EC-Earth3,6.15,ACCESS-CM2
1954,Baltimore,historical,5.25,4.15,CNRM-ESM2-1,6.1,ACCESS-CM2
1955,Baltimore,historical,6.166666666666667,5.5,CNRM-ESM2-1,6.95,ACCESS-CM2
1956,Baltimore,historical,6.016666666666667,4.9,CNRM-ESM2-1,7.9,ACCESS-CM2
1957,Baltimore,historical,6.45,4.6,CNRM-ESM2-1,8.9,EC-Earth3
1958,Baltimore,historical,7.2,6.7,ACCESS-CM2,8.0,EC-Earth3
1959,Baltimore,historical,6.183333333333334,5.3,EC-Earth3,7.65,ACCESS-CM2
1960,Baltimore,historical,5.683333333333334,4.1,ACCESS-CM2,6.7,CNRM-ESM2-1
1961,Baltimore,historical,6.283333333333334,4.7,CNRM-ESM2-1,7.8,EC-Earth3
1962,Baltimore,historical,5.416666666666667,4.65,EC-Earth3,5.85,ACCESS-CM2
1963,Baltimore,historical,5.983333333333333,5.2,EC-Earth3,6.65,CNRM-ESM2-1
1964,Baltimore,historical,6.333333333333333,5.4,ACCESS-CM2,6.95,EC-Earth3
1965,Baltimore,historical,6.116666666666666,5.6,CNRM-ESM2-1,6.55,ACCESS-CM2
1966,Baltimore,historical,4.433333333333333,3.4,CNRM-ESM2-1,5.3,ACCESS-CM2
1967,Baltimore,historical,6.433333333333334,5.0,EC-Earth3,8.3,ACCESS-CM2
1968,Baltimore,historical,4.833333333333333,3.25,CNRM-ESM2-1,7.0,EC-Earth3
1969,Baltimore,historical,5.466666666666666,4.9,EC-Earth3,6.5,ACCESS-CM2
