Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tas,Plot_index_Annual_tas,Ave25yearSpan_Winter_tas,Plot_index_Winter_tas,Ave25yearSpan_Spring_tas,Plot_index_Spring_tas,Ave25yearSpan_Summer_tas,Plot_index_Summer_tas,Ave25yearSpan_Fall_tas,Plot_index_Fall_tas
near-term Past,1,6.2.4,historical,274.18054,0,264.2887427,0,273.2859326,0,284.1725342,0,274.7546667,0
near-term Past,1,6.2.5,historical,278.5725,0,270.6578369,0,277.4890784,0,286.7310095,0,279.2252698,0
near-term Past,1,6.2.6,historical,277.40744,0,263.2431445,0,277.3228979,0,290.4516675,0,278.2475293,0
near-term Past,1,6.2.7,historical,281.7712,0,274.6788928,0,280.3256885,0,289.4810754,0,282.434928,0
near-term Past,1,6.2.8,historical,281.82208,0,273.691272,0,280.2527869,0,290.7802881,0,282.3684338,0
near-term Past,1,6.2.9,historical,281.66782,0,272.8914746,0,280.2696289,0,291.2891736,0,282.0267859,0
near-term Past,1,7.1.1,historical,272.24603,0,261.1370105,0,270.3451257,0,284.4588904,0,272.8520789,0
near-term Past,1,7.1.2,historical,275.371,0,268.3016956,0,273.4984888,0,283.4131702,0,276.1322815,0
near-term Past,1,7.1.3,historical,275.1088,0,264.3750269,0,274.5893506,0,286.6081812,0,274.5851782,0
near-term Past,1,7.1.4,historical,272.3587,0,262.4417896,0,271.6512317,0,282.5915955,0,272.5191638,0
near-term Past,1,7.1.5,historical,279.37747,0,272.7281519,0,278.2972681,0,286.2400439,0,280.0987866,0
near-term Past,1,7.1.6,historical,277.66913,0,270.1260864,0,276.4679529,0,285.5059546,0,278.4190625,0
near-term Past,1,7.1.7,historical,283.29984,0,277.1328503,0,282.187251,0,289.7937354,0,283.9451465,0
near-term Past,1,7.1.8,historical,284.46548,0,279.7025818,0,283.1902612,0,289.4362817,0,285.4243774,0
near-term Past,1,7.1.9,historical,285.3133,0,279.0300354,0,284.0756445,0,291.9870251,0,286.0193213,0
near-term Past,1,8.1.1,historical,280.29944,0,266.5306543,0,279.2562634,0,292.7699451,0,282.357666,0
near-term Past,1,8.1.10,historical,283.19595,0,270.9654041,0,282.3099316,0,294.4347156,0,284.8658606,0
near-term Past,1,8.1.2,historical,282.07043,0,269.4807532,0,280.7769373,0,293.8185278,0,283.9781091,0
near-term Past,1,8.1.3,historical,281.57227,0,269.0865613,0,280.5445142,0,293.1079602,0,283.3244421,0
near-term Past,1,8.1.4,historical,280.11874,0,264.6278735,0,280.1802148,0,293.5809924,0,281.7586243,0
near-term Past,1,8.1.5,historical,281.54633,0,266.4001636,0,281.7259534,0,294.5513672,0,283.1948767,0
near-term Past,1,8.1.6,historical,282.98367,0,270.0456702,0,282.3341345,0,294.7488489,0,284.5637122,0
near-term Past,1,8.1.7,historical,283.59714,0,271.5738818,0,282.2008862,0,295.0218542,0,285.3569592,0
near-term Past,1,8.1.8,historical,278.5978,0,265.1404077,0,277.1807947,0,291.1967126,0,280.5644055,0
near-term Past,1,8.1.9,historical,278.8282,0,265.8040564,0,276.7649219,0,291.3020374,0,281.1460461,0
near-term Past,1,8.2.1,historical,281.6694,0,267.532356,0,281.1852173,0,294.2539819,0,283.4347729,0
near-term Past,1,8.2.2,historical,282.8589,0,269.9694482,0,281.955144,0,294.6913464,0,284.5806995,0
near-term Past,1,8.2.3,historical,284.22324,0,270.5585559,0,284.2213672,0,296.1831128,0,285.6590369,0
near-term Past,1,8.2.4,historical,284.51736,0,271.7683691,0,284.2043726,0,295.941167,0,285.9257837,0
near-term Past,1,8.3.1,historical,286.05075,0,274.3592395,0,285.2207715,0,297.080387,0,287.3340588,0
near-term Past,1,8.3.2,historical,286.44983,0,273.5168542,0,286.5758411,0,297.8548767,0,287.5879395,0
near-term Past,1,8.3.3,historical,287.6807,0,276.2847217,0,287.5425061,0,298.0552161,0,288.6252258,0
near-term Past,1,8.3.4,historical,289.599,0,279.6369055,0,289.312334,0,298.9758838,0,290.2764001,0
near-term Past,1,8.3.5,historical,291.53314,0,282.1676001,0,291.335896,0,300.1826477,0,292.2653296,0
near-term Past,1,8.3.6,historical,291.00974,0,280.845531,0,290.9991321,0,300.2465137,0,291.7556909,0
near-term Past,1,8.3.7,historical,292.36945,0,282.6604834,0,292.2367664,0,301.3128418,0,293.0787158,0
near-term Past,1,8.3.8,historical,293.5027,0,284.0790674,0,293.4158752,0,301.9795947,0,294.3545764,0
near-term Past,1,8.4.1,historical,286.0832,0,275.0269946,0,285.6203992,0,296.4015564,0,287.0814514,0
near-term Past,1,8.4.2,historical,285.30777,0,274.1100842,0,284.9135925,0,295.6522107,0,286.3500574,0
near-term Past,1,8.4.3,historical,285.18924,0,273.4993835,0,284.7636462,0,295.9059595,0,286.3782703,0
near-term Past,1,8.4.4,historical,286.10092,0,276.2216833,0,285.7335974,0,295.4312866,0,286.8297583,0
near-term Past,1,8.4.5,historical,287.8714,0,275.9832227,0,287.9471179,0,298.6746899,0,288.6349976,0
near-term Past,1,8.4.6,historical,289.01215,0,277.8926904,0,288.9867664,0,299.2432544,0,289.7046716,0
near-term Past,1,8.4.7,historical,290.27478,0,279.0761255,0,290.2888831,0,300.5620837,0,290.9445264,0
near-term Past,1,8.4.8,historical,290.2463,0,279.423429,0,290.2293542,0,300.2150195,0,290.8970386,0
near-term Past,1,8.4.9,historical,288.75122,0,278.4966736,0,288.5566187,0,298.2964343,0,289.4591577,0
near-term Past,1,8.5.1,historical,290.2089,0,280.4719019,0,289.4513745,0,299.4358911,0,291.2888708,0
near-term Past,1,8.5.2,historical,291.5579,0,281.4945605,0,291.549707,0,300.7349585,0,292.260332,0
near-term Past,1,8.5.3,historical,295.09918,0,288.1805115,0,294.7171814,0,301.2441223,0,296.1350098,0
near-term Past,1,8.5.4,historical,286.0799,0,274.8007727,0,284.6713928,0,296.995979,0,287.6504785,0
near-term Past,1,9.2.1,historical,277.5968,0,261.4570581,0,277.8522742,0,291.7868774,0,278.9059875,0
near-term Past,1,9.2.2,historical,277.65503,0,260.1915881,0,277.9566577,0,292.7256738,0,279.3494751,0
near-term Past,1,9.2.3,historical,282.91464,0,267.9907849,0,283.1416467,0,295.9876086,0,284.1960413,0
near-term Past,1,9.2.4,historical,286.43768,0,273.130968,0,286.5837683,0,298.2693347,0,287.4664319,0
near-term Past,1,9.3.1,historical,278.59076,0,263.722738,0,278.5881677,0,292.060603,0,279.6230322,0
near-term Past,1,9.3.3,historical,281.16666,0,267.7529285,0,280.5128345,0,294.2038342,0,281.8546802,0
near-term Past,1,9.3.4,historical,282.76404,0,269.8485461,0,282.2183362,0,295.464104,0,283.2118933,0
near-term Past,1,9.4.1,historical,286.22418,0,275.2016504,0,285.7514563,0,297.2812585,0,286.4301868,0
near-term Past,1,9.4.2,historical,287.90326,0,275.4222925,0,287.8851221,0,299.5822302,0,288.4312366,0
near-term Past,1,9.4.3,historical,287.09897,0,276.5731482,0,286.6934473,0,297.5341736,0,287.3697583,0
near-term Past,1,9.4.4,historical,287.40167,0,274.3554688,0,287.4989172,0,299.217395,0,288.2303711,0
near-term Past,1,9.4.5,historical,291.3656,0,280.4007898,0,291.3667627,0,301.4727869,0,291.9919177,0
near-term Past,1,9.4.6,historical,292.56912,0,283.0304309,0,293.1088696,0,301.0382153,0,292.9195923,0
near-term Past,1,9.4.7,historical,292.88834,0,282.8621387,0,292.7548181,0,302.0352515,0,293.701886,0
near-term Past,1,9.5.1,historical,295.68875,0,287.9671912,0,295.7825696,0,302.3520337,0,296.5306641,0
near-term Past,1,9.6.1,historical,296.3566,0,288.5288977,0,297.0975122,0,303.0781653,0,296.5925134,0
near-term Future,1,0.0.0,ssp126,282.53488,2.3893127,269.9454517,3.499337158,280.5599731,1.390117187,294.8808386,2.397189941,284.5461768,2.321407471
mid-term Future,1,0.0.0,ssp126,283.74713,3.6015625,271.4573132,5.01119873,281.924585,2.754729004,295.9616748,3.478026123,285.4071545,3.182385254
long-term Future,1,0.0.0,ssp126,283.91623,3.7706604,271.8636804,5.417565918,281.5208984,2.35104248,295.8306226,3.346973877,286.1953186,3.970549316
near-term Future,1,1.1.1,ssp126,254.14743,2.625122,239.9343359,2.411345825,248.7183917,2.920588989,272.0461816,0.990241699,255.6556152,4.165145874
mid-term Future,1,1.1.1,ssp126,255.44508,3.9227753,242.2013806,4.678390503,249.369184,3.571381226,272.3199121,1.263972168,257.6879376,6.197468262
long-term Future,1,1.1.1,ssp126,255.47034,3.9480286,242.3658075,4.842817383,249.0579077,3.26010498,272.4803455,1.424405518,257.8054321,6.314962769
near-term Future,1,1.1.2,ssp126,263.14484,2.337738,251.1039355,2.75387207,258.1040576,2.506859741,276.2412585,1.224453125,267.0199438,2.916866455
mid-term Future,1,1.1.2,ssp126,265.00363,4.196533,254.965871,6.615807495,259.0982861,3.501088257,277.1350769,2.118271484,268.6012476,4.498170166
long-term Future,1,1.1.2,ssp126,265.1309,4.3237915,255.5184338,7.168370361,258.8730725,3.275874634,277.2549622,2.238156738,268.7918689,4.688791504
near-term Future,1,10.1.1,ssp126,279.18936,1.7483215,269.3095508,1.496297607,278.0367236,1.348643799,289.2847107,2.157355957,279.8817285,1.956932373
mid-term Future,1,10.1.1,ssp126,279.94693,2.50589,270.4737231,2.660469971,278.8456226,2.157542725,289.7482373,2.620882568,280.5302722,2.605476074
long-term Future,1,10.1.1,ssp126,280.13376,2.6927185,270.3184534,2.505200195,279.031803,2.343723145,290.5773828,3.450028076,280.4407251,2.515928955
near-term Future,1,10.1.2,ssp126,286.05582,1.8611755,275.8130945,1.326878662,285.0188367,1.406806641,296.6423999,2.615540771,286.503446,2.075101318
mid-term Future,1,10.1.2,ssp126,286.77744,2.5827942,277.0025134,2.516297607,285.6339063,2.021876221,297.2380774,3.211218262,287.0357166,2.607371826
long-term Future,1,10.1.2,ssp126,286.94943,2.7547913,276.7241956,2.237979736,285.7995593,2.187529297,298.0401489,4.013289795,287.0467688,2.618424072
near-term Future,1,10.1.3,ssp126,283.6747,2.0281067,273.5086304,1.308255615,281.8134814,1.508835449,294.8588525,2.985731201,284.2557666,2.264423828
mid-term Future,1,10.1.3,ssp126,284.33362,2.6870117,274.651239,2.450864258,282.1098767,1.805230713,295.6094775,3.736356201,284.7747742,2.783431396
long-term Future,1,10.1.3,ssp126,284.4182,2.7716064,274.2593994,2.059024658,282.319873,2.015227051,296.2853149,4.412193604,284.634646,2.643303223
near-term Future,1,10.1.4,ssp126,281.59262,2.1200256,270.7723181,2.277185059,279.5556238,1.445024414,293.5326208,2.569185791,282.2528394,2.174571533
mid-term Future,1,10.1.4,ssp126,282.363,2.8904114,272.152179,3.657045898,280.0161279,1.905528564,294.2112781,3.247843018,282.8668628,2.788594971
long-term Future,1,10.1.4,ssp126,282.49246,3.019867,271.5624768,3.06734375,280.4246179,2.314018555,294.8070483,3.843613281,282.9938208,2.915552979
near-term Future,1,10.1.5,ssp126,285.1893,1.9677429,274.8693616,1.256081543,283.1591187,1.561868896,296.4704297,2.728782959,285.9942847,2.285924072
mid-term Future,1,10.1.5,ssp126,285.6867,2.465149,275.6934473,2.080167236,283.2965613,1.699311523,297.0878882,3.346241455,286.483656,2.77529541
long-term Future,1,10.1.5,ssp126,285.7987,2.5771484,275.2970251,1.683745117,283.6128833,2.015633545,297.707533,3.96588623,286.3988123,2.69045166
near-term Future,1,10.1.6,ssp126,284.62112,1.8341064,272.7966284,1.360031738,283.4445874,1.489788818,296.45302,2.272878418,285.4966663,2.183266602
mid-term Future,1,10.1.6,ssp126,285.19986,2.4128418,273.8732959,2.436699219,283.7403125,1.785513916,297.0868311,2.906689453,285.8807922,2.567392578
long-term Future,1,10.1.6,ssp126,285.29294,2.5059204,273.4341272,1.997530518,284.0379041,2.083105469,297.5865723,3.406430664,285.9148438,2.601444092
near-term Future,1,10.1.7,ssp126,286.36575,1.7653809,275.9065479,1.203066406,285.0793909,1.598249512,296.8568518,2.043463135,287.3749365,2.185587158
mid-term Future,1,10.1.7,ssp126,286.85464,2.2542725,276.5389526,1.835471191,285.3698328,1.888691406,297.5141321,2.700743408,287.806272,2.616922607
long-term Future,1,10.1.7,ssp126,286.9476,2.347229,276.26047,1.556988525,285.7669727,2.285831299,297.8381311,3.024742432,287.7336816,2.544332275
near-term Future,1,10.1.8,ssp126,284.87888,2.131256,273.9572632,1.637841797,283.2828882,1.617424316,296.5657471,3.040068359,285.4265967,2.172225342
mid-term Future,1,10.1.8,ssp126,285.73383,2.986206,275.53979,3.220368652,283.9003235,2.234859619,297.2739111,3.748232422,286.0061853,2.751813965
long-term Future,1,10.1.8,ssp126,285.8165,3.0688782,275.0230774,2.703656006,284.0939624,2.428498535,298.0004395,4.474760742,285.9716101,2.71723877
near-term Future,1,10.2.1,ssp126,292.52353,1.9020691,283.0303015,1.098681641,290.6785596,1.764946289,302.3737512,2.215928955,293.776781,2.503812256
mid-term Future,1,10.2.1,ssp126,292.97363,2.3521729,283.5986328,1.667012939,290.8756299,1.962016602,302.9191882,2.761365967,294.3538928,3.080924072
long-term Future,1,10.2.1,ssp126,293.14264,2.5211792,283.4181177,1.486497803,291.1616431,2.248029785,303.4577441,3.299921875,294.3520361,3.079067383
near-term Future,1,10.2.2,ssp126,297.03348,1.9055786,288.4669861,1.332998047,295.2282019,1.746112061,305.441936,1.996381836,298.7957153,2.520041504
mid-term Future,1,10.2.2,ssp126,297.56232,2.4344177,289.2123669,2.078378906,295.4379163,1.955826416,306.0551758,2.609621582,299.4272681,3.151594238
long-term Future,1,10.2.2,ssp126,297.64304,2.5151367,289.0094714,1.875483398,295.7573291,2.275239258,306.3172656,2.871711426,299.3235352,3.047861328
near-term Future,1,10.2.3,ssp126,296.62256,2.2962341,291.7275867,1.887015381,294.3882935,2.147022705,301.2435913,2.347314453,299.0192566,2.776984863
mid-term Future,1,10.2.3,ssp126,297.14294,2.8166199,292.5975696,2.756998291,294.7343604,2.4930896,301.6854358,2.789158936,299.52276,3.280488281
long-term Future,1,10.2.3,ssp126,297.26035,2.934021,292.3683276,2.527756348,294.936897,2.695626221,301.9384656,3.042188721,299.7046875,3.462415771
near-term Future,1,10.2.4,ssp126,293.60938,1.5687561,285.6223572,1.479998779,294.2257971,1.486571045,300.6980908,1.501431885,293.6824658,1.731798096
mid-term Future,1,10.2.4,ssp126,294.2337,2.1930847,286.1390076,1.99664917,294.6888232,1.949597168,301.5706494,2.373990479,294.3898193,2.439151611
