Year,City,Scenario,TRCmax,TRCmax_min,TRCmax_min_model,TRCmax_max,TRCmax_max_model,TRCmaxmin,TRCmaxmin_min,TRCmaxmin_min_model,TRCmaxmin_max,TRCmaxmin_max_model
2009,Atlanta,historical,0.41111111111111115,0.0,CNRM-ESM2-1,0.9,EC-Earth3,37.81111111111111,32.766666666666666,ACCESS-CM2,44.66666666666666,EC-Earth3
2010,Atlanta,historical,0.6,0.0,ACCESS-CM2,1.8,CNRM-ESM2-1,27.288888888888888,19.766666666666666,ACCESS-CM2,36.8,CNRM-ESM2-1
2011,Atlanta,historical,0.688888888888889,0.0,EC-Earth3,1.0666666666666669,ACCESS-CM2,27.955555555555552,17.833333333333332,EC-Earth3,34.13333333333333,CNRM-ESM2-1
2012,Atlanta,historical,1.0888888888888888,0.6333333333333333,CNRM-ESM2-1,1.6333333333333333,ACCESS-CM2,31.46666666666667,23.53333333333333,EC-Earth3,39.7,CNRM-ESM2-1
2013,Atlanta,historical,0.09999999999999999,0.0,CNRM-ESM2-1,0.3,ACCESS-CM2,35.34444444444444,28.5,ACCESS-CM2,38.93333333333333,CNRM-ESM2-1
2014,Atlanta,historical,1.0666666666666667,0.0,EC-Earth3,3.0,CNRM-ESM2-1,28.21111111111111,21.9,EC-Earth3,34.63333333333333,CNRM-ESM2-1
1951,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,18.307692307692307,9.192307692307692,CNRM-ESM2-1,28.884615384615383,EC-Earth3
1952,Austin,historical,1.012820512820513,0.2307692307692307,CNRM-ESM2-1,1.807692307692308,ACCESS-CM2,19.115384615384617,17.307692307692307,ACCESS-CM2,21.76923076923077,EC-Earth3
1953,Austin,historical,1.2564102564102564,0.0,EC-Earth3,2.769230769230769,CNRM-ESM2-1,23.34615384615385,15.038461538461538,ACCESS-CM2,32.88461538461539,CNRM-ESM2-1
1954,Austin,historical,0.923076923076923,0.0,EC-Earth3,2.423076923076923,CNRM-ESM2-1,26.525641025641022,23.346153846153847,EC-Earth3,28.26923076923077,CNRM-ESM2-1
1955,Austin,historical,0.3846153846153845,0.0,ACCESS-CM2,1.1538461538461535,CNRM-ESM2-1,21.397435897435898,9.615384615384617,ACCESS-CM2,27.307692307692307,CNRM-ESM2-1
1956,Austin,historical,0.4871794871794872,0.0,CNRM-ESM2-1,1.4615384615384617,ACCESS-CM2,18.474358974358974,16.46153846153846,ACCESS-CM2,20.346153846153847,CNRM-ESM2-1
1957,Austin,historical,0.2948717948717949,0.0,ACCESS-CM2,0.8846153846153846,EC-Earth3,12.37179487179487,7.923076923076923,CNRM-ESM2-1,17.923076923076923,EC-Earth3
1958,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,17.435897435897434,14.615384615384617,ACCESS-CM2,21.26923076923077,EC-Earth3
1959,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,19.653846153846157,18.5,CNRM-ESM2-1,20.53846153846154,ACCESS-CM2
1960,Austin,historical,0.25641025641025644,0.0,ACCESS-CM2,0.7692307692307693,CNRM-ESM2-1,21.48717948717949,18.26923076923077,EC-Earth3,23.115384615384617,ACCESS-CM2
