Year,Model,Ecoregion,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_max
1999,1,10.1.3,historical,5.52173913,4,8
2000,1,10.1.3,historical,5.458498024,1,7
2001,1,10.1.3,historical,4.557312253,0,11
2002,1,10.1.3,historical,5.122529644,3,8
2003,1,10.1.3,historical,4.881422925,3,8
2004,1,10.1.3,historical,4.312252964,2,7
2005,1,10.1.3,historical,4.687747036,2,8
2006,1,10.1.3,historical,3.648221344,2,7
2007,1,10.1.3,historical,3.292490119,1,6
2008,1,10.1.3,historical,2.652173913,1,6
2009,1,10.1.3,historical,5.04743083,2,9
2010,1,10.1.3,historical,5.249011858,4,7
2011,1,10.1.3,historical,6.04743083,2,9
2012,1,10.1.3,historical,4.154150198,1,9
2013,1,10.1.3,historical,2.901185771,1,6
2014,1,10.1.3,historical,3.731225296,1,7
1951,1,10.1.4,historical,2.827004219,0,7
1952,1,10.1.4,historical,3.485232068,0,6
1953,1,10.1.4,historical,1.291139241,0,4
1954,1,10.1.4,historical,1.957805907,0,5
1955,1,10.1.4,historical,3.797468354,0,8
1956,1,10.1.4,historical,2.417721519,1,6
1957,1,10.1.4,historical,0.426160338,0,3
1958,1,10.1.4,historical,1.628691983,1,5
1959,1,10.1.4,historical,0.050632911,0,2
1960,1,10.1.4,historical,1.662447257,0,4
1961,1,10.1.4,historical,3.675105485,2,7
1962,1,10.1.4,historical,2.784810127,0,6
1963,1,10.1.4,historical,1.4092827,1,6
1964,1,10.1.4,historical,0.603375527,0,5
1965,1,10.1.4,historical,1.476793249,0,4
1966,1,10.1.4,historical,3.004219409,0,6
1967,1,10.1.4,historical,1.481012658,0,6
1968,1,10.1.4,historical,3.5907173,1,7
1969,1,10.1.4,historical,2.345991561,1,5
1970,1,10.1.4,historical,1.628691983,0,5
1971,1,10.1.4,historical,1.206751055,0,3
1972,1,10.1.4,historical,3.282700422,2,6
1973,1,10.1.4,historical,2.046413502,0,8
1974,1,10.1.4,historical,2.864978903,0,7
1975,1,10.1.4,historical,1.181434599,0,2
1976,1,10.1.4,historical,3.042194093,2,5
1977,1,10.1.4,historical,2.751054852,0,7
1978,1,10.1.4,historical,3.47257384,1,7
1979,1,10.1.4,historical,2.784810127,0,4
1980,1,10.1.4,historical,1.978902954,0,7
1981,1,10.1.4,historical,1.109704641,0,3
1982,1,10.1.4,historical,2.126582278,0,9
1983,1,10.1.4,historical,3.168776371,0,9
1984,1,10.1.4,historical,2.172995781,0,7
1985,1,10.1.4,historical,0.35443038,0,3
1986,1,10.1.4,historical,1.936708861,0,6
1987,1,10.1.4,historical,4.974683544,2,9
1988,1,10.1.4,historical,4.535864979,1,7
1989,1,10.1.4,historical,1.573839662,0,5
1990,1,10.1.4,historical,0.573839662,0,2
1991,1,10.1.4,historical,1.641350211,0,5
1992,1,10.1.4,historical,3.219409283,1,6
1993,1,10.1.4,historical,1.341772152,0,3
1994,1,10.1.4,historical,2.983122363,0,9
1995,1,10.1.4,historical,0.818565401,0,6
1996,1,10.1.4,historical,2.345991561,0,7
1997,1,10.1.4,historical,1.949367089,1,4
1998,1,10.1.4,historical,2.135021097,0,4
1999,1,10.1.4,historical,4.430379747,0,8
2000,1,10.1.4,historical,3.23628692,0,8
2001,1,10.1.4,historical,0.426160338,0,2
2002,1,10.1.4,historical,3.194092827,1,7
2003,1,10.1.4,historical,2.518987342,0,7
2004,1,10.1.4,historical,4.215189873,1,9
2005,1,10.1.4,historical,5.721518987,1,10
2006,1,10.1.4,historical,1.776371308,0,4
2007,1,10.1.4,historical,2.599156118,0,5
2008,1,10.1.4,historical,0.725738397,0,6
2009,1,10.1.4,historical,4.843881857,1,9
2010,1,10.1.4,historical,3.438818565,0,8
2011,1,10.1.4,historical,2.991561181,1,6
2012,1,10.1.4,historical,2.371308017,1,8
2013,1,10.1.4,historical,1.497890295,0,4
2014,1,10.1.4,historical,1.485232068,0,4
1951,1,10.1.5,historical,5.19047619,2,9
1952,1,10.1.5,historical,4.832380952,1,8
1953,1,10.1.5,historical,4.714285714,1,8
1954,1,10.1.5,historical,5.116190476,1,10
1955,1,10.1.5,historical,4.992380952,1,9
1956,1,10.1.5,historical,3.84,1,9
1957,1,10.1.5,historical,3.335238095,0,7
1958,1,10.1.5,historical,4.476190476,1,7
1959,1,10.1.5,historical,3.982857143,0,8
1960,1,10.1.5,historical,4.676190476,0,8
1961,1,10.1.5,historical,5.731428571,2,8
1962,1,10.1.5,historical,4.396190476,1,8
1963,1,10.1.5,historical,4.60952381,1,9
1964,1,10.1.5,historical,4.03047619,0,8
1965,1,10.1.5,historical,4.125714286,0,6
1966,1,10.1.5,historical,5.542857143,0,8
1967,1,10.1.5,historical,5.060952381,1,9
1968,1,10.1.5,historical,4.718095238,2,7
1969,1,10.1.5,historical,5.457142857,1,9
1970,1,10.1.5,historical,4.508571429,0,8
1971,1,10.1.5,historical,4.001904762,1,7
1972,1,10.1.5,historical,5.062857143,1,7
1973,1,10.1.5,historical,5.88,1,9
1974,1,10.1.5,historical,4.79047619,1,8
1975,1,10.1.5,historical,3.201904762,0,6
1976,1,10.1.5,historical,4.512380952,1,8
1977,1,10.1.5,historical,4.443809524,1,9
1978,1,10.1.5,historical,5.758095238,1,8
1979,1,10.1.5,historical,4.660952381,1,8
1980,1,10.1.5,historical,5.238095238,0,8
1981,1,10.1.5,historical,4.384761905,1,7
1982,1,10.1.5,historical,4.466666667,1,8
1983,1,10.1.5,historical,5.512380952,1,8
1984,1,10.1.5,historical,5.714285714,0,9
1985,1,10.1.5,historical,2.626666667,0,7
1986,1,10.1.5,historical,6.053333333,0,10
1987,1,10.1.5,historical,5.716190476,2,9
1988,1,10.1.5,historical,5.182857143,2,9
1989,1,10.1.5,historical,6.112380952,0,10
1990,1,10.1.5,historical,4.52952381,0,9
1991,1,10.1.5,historical,6.373333333,1,9
1992,1,10.1.5,historical,6.264761905,0,10
1993,1,10.1.5,historical,3.586666667,1,7
1994,1,10.1.5,historical,5.838095238,0,9
1995,1,10.1.5,historical,6.156190476,0,10
1996,1,10.1.5,historical,4.563809524,1,8
1997,1,10.1.5,historical,6.144761905,1,10
1998,1,10.1.5,historical,4.459047619,1,8
1999,1,10.1.5,historical,5.047619048,1,8
