Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tas,Plot_index_Annual_tas,Ave25yearSpan_Winter_tas,Plot_index_Winter_tas,Ave25yearSpan_Spring_tas,Plot_index_Spring_tas,Ave25yearSpan_Summer_tas,Plot_index_Summer_tas,Ave25yearSpan_Fall_tas,Plot_index_Fall_tas
mid-term Future,1,2.1.5,ssp585,267.0856985313537,5.856703115380812,254.743477556046,9.181864017079057,261.18003904538875,5.318636323504313,281.4026510814253,3.085203360392833,270.8211167611775,5.905248198263031
mid-term Future,1,2.1.6,ssp585,266.32885243464915,5.487119742047144,255.80589576902804,8.363029267889917,260.6492280703297,5.275615378142051,279.1934935710627,3.0679035329309534,269.49995206622054,5.294858391562599
mid-term Future,1,2.1.7,ssp585,267.7415720923866,6.065785942032106,256.22576774398823,9.50946702253228,262.04225191759986,5.621520122785181,281.09689088955906,3.0232767501171756,271.4210700170018,6.1759564950272114
mid-term Future,1,2.1.8,ssp585,265.4790199697063,6.757354976376072,252.82248691895856,9.993251818212421,258.45637490060176,5.594081037033186,280.0247310933219,2.8592103207834656,270.4241129970081,8.66552178656017
mid-term Future,1,2.1.9,ssp585,266.5435534500711,6.936195018549516,254.9809414231,10.62818386438732,259.7394279555314,5.706768829672114,280.34790772292376,3.11589901934188,270.932444238083,8.380254005971723
mid-term Future,1,2.2.1,ssp585,271.9044185271867,7.867030397379941,263.5005255678665,14.25898100487615,267.04948020115353,6.819380327894191,284.27705919509344,3.8884419665971546,272.63781067220515,6.609935004020028
mid-term Future,1,2.2.2,ssp585,271.8117494626717,7.028428468667069,262.0652964814723,11.884290657910281,267.54806698824683,6.264580182787132,285.3648854832545,4.002229508485481,272.0852680426377,6.04481684976984
mid-term Future,1,2.2.3,ssp585,277.8738314803794,6.5122883594670125,270.8417166249448,10.827519382455828,274.89036169071477,6.31952273460257,288.33371086058406,4.266232160537136,277.28864864768417,4.698718692154552
mid-term Future,1,2.2.4,ssp585,276.1524192160339,7.314631828387555,270.02849829655474,13.121124316308258,272.30613798995256,7.074644707967224,286.63210564364556,4.042800034568037,275.5188955372758,5.1070434547623025
mid-term Future,1,2.2.5,ssp585,280.4763047111586,5.584972342514204,273.57597218897484,8.295975000399228,278.41500585152625,4.990541805714653,289.84906979229135,4.538107756946399,279.92719607845333,4.555942358011483
mid-term Future,1,2.2.6,ssp585,280.90039036649557,3.607593658407291,277.0844985495983,3.4817251728943397,278.20168463103954,3.3378889146489703,285.62771278982575,3.8679326499026754,282.6335040178403,3.741879607208155
mid-term Future,1,2.3.1,ssp585,268.8697698280125,6.048118543865915,257.1836413955469,9.604929641085468,265.39812871711064,5.276390707117668,283.9451532616644,3.807761874351165,268.72704385056966,5.566197018185733
mid-term Future,1,2.4.1,ssp585,269.40610865818394,6.0362610996892805,256.02933175740657,9.569847406429346,264.0539867630181,5.035666561391123,285.24420479697415,3.735264173547696,272.0699626923896,5.87005875252699
